Label,Text
0,都不够我一手握的。这幺小的苹果我还第一次见。很不值
1,宝贝很好 给爸爸买的 爸爸很喜欢 穿上显年轻 爸爸很开心 我也很开心
0,联想到前段时间华为用库存芯片到旗舰机上。。。我觉得你们有必要好好反省了，不光埋头做产品的如此，你们售后也应该一样反思！
0,一个充满铜臭的酒店。吸氧，每小时要收90元。办理入住，直接扣除2天房费，并声称若不足2天，不退款。热水龙头出水奇慢。相关问题，前台一问三不知。
1,货流速度快，拆箱后查验，是正品，价格并没有优惠多少，唯一的优势是当天送货上门。
1,东西收到，店家服务态度好，物流速度快，苹果每个都很漂亮，满意给全满分好评
1,很不错，买来就用上了。非常棒啊…会一直支持京东
0,衣服大小合适，面料也不错
0,住过的最差酒店！夜里2点左右走道里开始有打斗声，尖叫声，吵闹声，至少30分钟！室内地毯肮脏不堪，到处都是黑色或棕色印记，浴缸里也很多污痕或许干脆就是破损。淋雨头时常从固定处掉下来，洗个澡要靠一只手时刻拿着淋浴花洒。绝不住第二次！
1,非常棒的华为平板，大小合适，可以通话，正好给送妈妈，把旧的手机升级了。京东物流从下单到家门12小时，赞赞赞。
1,外观精美，屏幕清晰，连上wifi后运行流畅，唯一不足～电量不耐用
1,香草冰激凌，蒙牛的，喜欢滴。
1,物流超快，下单第二天就到了！用来看电子书和视频很棒！电量也耐用，喜欢！！
0,火龙果 有一个很奇类 跟另外2个差距太大 就是很小 ！苹果不脆 很松
0,买了不到二十天750卖了，安卓的平板建议大家还是不要买了，好多软件更新非常慢，这个跟大屏手机一样，装的都是手机的APP买来用两天卡的受不了，后来才知道华为的东西都是高价低配。再也不买华为了。
0,在携程已经确认的订单，酒店前台竟然查不到，怪了
0,没有看到使用截止日期，说好的赠品也没有，还有待进一步使用。
0,洗发水太差劲了，本来没有头皮屑的，用过这种洗发水头好出油不说，头皮屑也多，头皮发痒
0,这还买的水果一点都不满意，坏得太多，不是碰坏的，本身坏了，
1,很新潮	很适合学生	外观好靓
0,衣服实际颜色和图片显示差别大，尺寸小，严重有皱褶，起球。
1,环境还算幽静。别墅标间的房间略小。卫生间倒还算宽敞，设施较好。服务还好。就是价格太高。
0,什么进口红柚，又酸又苦，家里人尝了尝就没人再吃了，白花了几十块钱
0,不厚道地怀疑他们有私人恩怨（比如所谓不配合之类）不然蒙牛这么逆天的企业为啥不改又不死还没人出来说话？
0,服务差。预定后说有送迷你吧的饮料。等了一个晚上都没有饮料。
0,都漏出来了，这包装真行。
1,蒙牛+手工饼干搭配不错慢慢复习@菲家西点铺
1,房子还好，地理位置也还不错，但是不值得这样的价位。同样的水平，徐汇区的华亭宾馆才600多元，这里却要1000元。
1,相信品牌！相信京东！物流超赞！味道不错！新鲜可见！包装完好！潘总代言……呵呵！
1,宝贝已收到，包装严实，质量很好，屏幕大用着方便，非常满意的一次购物，好评
1,性价比很高的一款平板，华为大品牌，值得信赖！
1,有时候，一本好书的标准不是情节多么跌宕起伏，场面描写多么宏伟，蕴涵的社会意义有多深，这些，在很多时候都不是读书的目的。当现代生活越来越快速，生活压力越来越大的时候，能让烦闷的人们在阅读的时候心情愉悦的书，就是一本好书。这本书的经典就在于此。我已将这本书送给一个朋友，因为好心情是要分享的。
0,机场旁边就是图个搭飞机方便，谈不上什么服务，酒店就是一个快捷酒店，中规中矩，就凑合睡个觉而已。综合来说只能算一般般吧。
1,很满意啊，物流很快，第二天就到了，比超市便宜好多。
1,价格实惠，一直用这个牌子，好用实惠，快递速度快
0,呵呵自己看吧，还是去超市买。真还是假，不信买了试试
