Label,Text
0,"指纹太郁闷了......,刷卡不给开增票,不知道怎么解释,刷卡之前没说明,刷完了才说,我订单上明明写着开增票的"
1,一拿到书就迫不及待地看了起来，的确是一本很值得读的书。很欣赏作者直接的笔锋，她的一些观念很大胆但的确是对小孩子有益的，例如她对“惩罚性”作业的观点，有多少人敢挑战老师的尊严呢？但作者出于对女儿的爱，很勇敢地去坚持自己的立场。在教育小孩子的问题上有很多很多的指导，但要坚持自己的原则确实难能可贵。这本书让人完全耳目一新，强烈推荐！
1,做工精致，本本很薄，自带MAFEE杀毒软件。N280的CPU不错，会根据需要自动调节频率。看1280*720分辨率的电影非常流畅
1,因为个人的原因，不知道电池的前三次要充电十二个小时，所以电池不耐用。但是我觉得京东应该在告知顾客的一些使用常识和注意事项，不一定大家都知道。这样可以让顾客的网上购物更加安全和放心，也让京东的业务更加好
1,质量还不错，模具做工很漂亮，led的屏幕显示效果不错，看着很舒服，cpu很棒，还带hdmi接口。
1,幼儿园的老师更应该看。孩子大多时间还是在幼儿园，在幼儿园里经历的一些事可能会影响孩子的性格甚至一生。如果幼教都能领悟蒙特梭利的育儿法，真正让孩子做主。真正爱孩子。对孩子有极大的耐心，我相信我们的小苗苗都能长成参天大树的；我们明天的栋梁会让我们中国更加强大。
1,女儿六岁半，读来有些浅了，一会就读完放在一边。可 我发现她经常还会翻起。同事看我买这本书，马上拿来看，一边看一边感叹：我女儿（四岁）一定喜欢这上面的图画，同时又培养了她的数学兴趣。于是，他马上订了一套。非常不错的书，如果我不时候受到如此轻松有趣的数学启蒙教育，就不会让对数学的厌烦陪伴长大，以至于上大学，高数还补考了。
1,字都打印得很清晰，但也有不少谬误，间隔布置合宜，不会太密也不会太疏。纸面整洁，看起来很舒服，封底面橡胶的厚皮本能有效防止书籍损坏，装订牢实，也方便携带。大爱简爱的英文原著，那种语言魅力胜于言表，男女主角之间的表白倾诉扣人心弦，文字实在太赞，行云流水地写出来深刻细腻，动用大量的比喻以及心理描写让人情与字移。
1,预装DOS操作系统，消费者可以自己选择操作系统，避免装上自己不喜欢的操作系统，尤其是现在的VISTA，装上VISTA，没有迅盘的话，双核电脑和单核是差不多样的。CPU、硬盘配置较高。内存是单条2G的。
1,因为喜欢，已推荐给同事朋友，送给小朋友是不错的礼物。
0,自提时电池插口塑料及金属片有变形（外包完好）估计出厂时就是这样，给工作人员看说要找客服，自己调整了一下，将就用了。但触摸板上有小黑点
0,1）重量再控制一下； 2）周末说是一天2送，我在上海，周五17点之后下单，周日中午11点多才送到。慢。
1,屏幕 做工 都可以 价格公道 用pe装的雨林木风的系统 重启时引导出了点问题 送的光盘里有驱动和程序 装上快捷键就能用了
1,性价比还好，重量较轻（比想象中轻）；由于使用了14寸16：9的LED显示器，显示效果有所改观，运用了ACER的节电技术，电池续航能力有所提升，仿巧克力式键盘用起来比较舒服。
0,"很一般的设施,很陈旧. 服务也很一般, 价格和设施是完全不相关的一个酒店.不会再考虑去入住."
1,这是这系列书的第一本，我是全系列看完（起码到现在时这样）。很佩服作者有这么大的构架，现在能写这种小说的人不多了。当然作者也是比较聪明的，故事一个一个的说，脉络清晰不似某些名著，混杂繁琐，往往表达的太多让人迷惑。辛夷坞此作当属青春文学的典范，可以说文章笔法扎实老道，内容娓娓道来容易消化，点睛之笔信手拈来。好书！
1,日常用真的很不错，比上网本强多了。速度挺快，噪声小，发热一般。体积家用还可以
1,环境十分棒，住着感到特别安全。本人住的是主楼28204房，客房服务人员和前台小姐、门童的态度都十分好。美中不足之处是早餐一般，有时客人没有吃完，早餐部的服务人员就自己坐下来吃了，需要改进。此外，打的需要时间等待，因为实在是庭院深深，适合有车的朋友住。
0,这个酒店真是差啊，非常不好！房间是大，就是显得不干净，估计是过去的招待所改的。
0,去的时候已经很晚了，在大厅叫了好几声才有一个服务员从前台后面爬起来，帮忙办理了入住手续。进到房间后发现房间的设施非常简陋，霉味也非常大。第二天早上起来才仔细看了一下房间，比起如家等快捷酒店差远了，说是三星的酒店，但距离三星不是差一点点。。。根本对不起220 的价格，最多也就值100多一点点。
1,外观不错，适合女孩子。昨天下午下的订单，今天上午就通知提货了。
1,"补充一点,就是九州出版社出版的旧版本《厚黑学》装订质量也是非常的好的。新版本看上去更加大气"
1,这次的价格比以前贵一点，但是还是客户来住的首选。环境非常好的，服务也好。出了门口的服务生呆呆的，其他都赞。客人还是比较满意~~
0,除大堂像一个挂牌五星级酒店外，其他真的没找到可以达标的。设施陈旧，比如地毯差，而且脏！床和被子跟一般的小酒店差不多，卫生间也一般，总之在大堂感觉很好，到了房间就发现被大堂忽悠了！
1,这个价位的15.4寸屏幕性价比较高。送货也很快，我是江西九江的，前后两天就到了。
1,“特种刮痧运板技巧”的作者是周信文老师，他是我的推拿老师，我谢谢推拿后，受益非浅。自己的毛病自己解决，亲友、朋友的毛病我都帮助解决。
1,"黑边太大,屏幕还可以再大些,没有光驱,送的瑞星还是光盘版的,内存条需要自己装,vista系统太不好用,跟很多软件都不兼容.没有触摸板不太方便.还有就是只有一个分区有点郁闷."
